Monthly_Inhand_Salary,Delay_from_due_date,Outstanding_Debt,Credit_History_Age,Credit_Score_Encoded,Num_of_Loan_Types,Credit_Mix_Good,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes
1824.8433333333328,3,809.98,271.0,2,4,1,1,0
3037.986666666666,3,605.03,319.0,1,1,1,1,0
3037.986666666666,7,605.03,320.0,2,1,1,1,0
3037.986666666666,3,605.03,323.0,2,1,1,1,0
3037.986666666666,3,605.03,324.0,2,1,1,1,0
3037.986666666666,3,605.03,326.0,2,1,1,1,0
12187.22,10,1303.01,217.0,2,3,1,1,0
12187.22,8,1303.01,218.0,2,3,1,1,0
12187.22,8,1303.01,220.0,1,3,1,1,0
2612.4908333333333,0,632.46,207.0,1,1,1,1,0
2612.4908333333333,5,632.46,208.0,1,1,1,1,0
2612.4908333333333,3,632.46,209.0,1,1,1,0,0
2612.4908333333333,7,632.46,210.0,1,1,1,1,0
2612.4908333333333,5,632.46,211.0,1,1,1,1,0
2612.4908333333333,4,632.46,214.0,1,1,1,1,0
11242.783333333333,0,352.16,367.0,2,2,1,0,0
11242.783333333333,-1,352.16,368.0,2,2,1,1,0
10469.207759388815,0,352.16,369.0,2,2,1,0,0
10469.207759388815,0,352.16,370.0,2,2,1,1,0
10469.207759388815,0,352.16,371.0,2,2,1,1,0
10469.207759388815,0,352.16,374.0,2,2,1,1,0
9843.8675,11,1377.74,260.0,1,3,1,1,0
9843.8675,11,1377.74,263.0,1,3,1,1,0
2825.233333333333,2,421.43,318.0,2,2,1,1,0
2825.233333333333,-2,421.43,319.0,2,2,1,1,0
2825.233333333333,-1,421.43,323.0,2,2,1,1,0
2948.605833333333,16,1328.93,231.0,1,3,0,0,1
2948.605833333333,17,1328.93,233.0,1,3,0,0,1
2948.605833333333,16,1328.93,234.0,1,3,0,0,1
2948.605833333333,16,1328.93,235.0,1,3,0,0,1
7266.686666666667,-1,950.36,305.0,1,2,1,1,0
7266.686666666667,4,950.36,306.0,2,2,1,0,0
7266.686666666667,4,950.36,307.0,1,2,1,1,0
7266.686666666667,4,950.36,309.0,2,2,1,1,0
7266.686666666667,4,950.36,310.0,2,2,1,1,0
4766.68,10,179.22,322.0,1,3,0,0,1
4766.68,10,179.22,323.0,1,3,0,0,1
4766.68,10,179.22,325.0,1,3,0,0,1
4766.68,10,179.22,326.0,1,3,0,0,1
4766.68,10,179.22,328.0,1,3,0,0,1
4766.68,10,179.22,329.0,1,3,0,0,1
519.12875,23,2602.69,108.0,0,7,0,0,1
519.12875,22,2602.69,110.0,0,7,0,0,1
519.12875,22,2602.69,111.0,0,7,0,0,1
2415.855,16,758.44,218.0,1,5,0,0,0
2415.855,16,758.44,220.0,1,5,0,0,1
2415.855,16,758.44,224.0,1,5,0,0,1
2415.855,15,758.44,225.0,1,5,0,0,1
2942.148333333333,8,818.22,202.0,1,2,0,0,1
2942.148333333333,12,818.22,203.0,1,2,0,0,1
2942.148333333333,8,818.22,204.0,1,2,0,0,1
2942.148333333333,8,818.22,206.0,1,2,0,0,1
2942.148333333333,8,818.22,209.0,1,2,0,0,1
2898.385,11,1283.37,77.0,1,6,0,0,1
2898.385,11,1283.37,78.0,1,6,0,0,1
2898.385,10,1283.37,79.0,1,6,0,0,1
2898.385,11,1283.37,80.0,1,6,0,0,1
2898.385,11,1283.37,82.0,1,6,0,0,1
2898.385,13,1283.37,84.0,1,6,0,0,1
1512.361666666667,51,2430.21,219.0,0,5,0,0,0
1512.361666666667,51,2430.21,221.0,1,5,0,0,1
1512.361666666667,51,2430.21,223.0,0,5,0,0,1
1512.361666666667,53,2430.21,225.0,1,5,0,0,1
1074.5845833333333,48,1672.43,122.0,0,5,0,0,0
1074.5845833333333,48,1672.43,123.0,0,5,0,0,1
1074.5845833333333,48,1672.43,126.0,0,5,0,0,1
1074.5845833333333,48,1672.43,128.0,0,5,0,0,1
782.0370833333334,25,569.8,148.0,1,3,0,0,1
782.0370833333334,20,569.8,151.0,0,3,0,0,1
782.0370833333334,25,569.8,152.0,0,3,0,0,1
4720.926666666667,48,3532.83,150.0,0,8,0,0,1
4720.926666666667,49,3532.83,152.0,1,8,0,0,1
1999.3075,22,614.6,214.0,1,3,0,1,0
2697.51,52,2686.81,164.0,0,7,0,0,0
3622.186666666666,13,1233.1,231.0,1,1,0,0,1
3622.186666666666,15,1233.1,232.0,1,1,0,0,1
3622.186666666666,11,1233.1,233.0,1,1,0,0,1
3622.186666666666,10,1233.1,234.0,1,1,0,0,1
3622.186666666666,8,1233.1,235.0,1,1,0,0,1
3622.186666666666,11,1233.1,236.0,1,1,0,0,1
2210.0325,28,400.07,365.0,1,3,0,0,1
2210.0325,25,400.07,370.0,1,3,0,0,1
3007.461666666666,61,2258.73,106.0,0,6,0,0,1
3007.461666666666,61,2258.73,107.0,0,6,0,0,1
3007.461666666666,61,2258.73,111.0,0,6,0,0,1
1684.168333333333,4,413.32,221.0,2,2,1,1,0
1684.168333333333,5,413.32,225.0,1,2,1,1,0
1387.303333333333,31,1793.54,228.0,1,6,0,0,1
1387.303333333333,31,1793.54,230.0,0,6,0,0,1
1387.303333333333,31,1793.54,232.0,0,6,0,0,1
959.22875,29,1489.49,105.0,1,2,0,0,1
959.22875,30,1489.49,106.0,1,2,0,0,1
959.22875,30,1489.49,107.0,1,2,0,0,1
959.22875,30,1489.49,108.0,1,2,0,0,1
959.22875,28,1489.49,111.0,1,2,0,0,1
4664.75,18,98.97,158.0,1,6,0,0,1
4664.75,18,98.97,163.0,1,6,0,0,1
3764.331666666667,4,556.91,258.0,1,3,1,1,0
5799.45,8,1293.02,308.0,1,1,0,0,1
5799.45,8,1293.02,309.0,1,1,0,0,1
5799.45,4,1293.02,310.0,2,1,0,0,1
5799.45,5,1293.02,312.0,2,1,0,0,1
2227.8316666666665,53,3421.66,161.0,0,5,0,0,1
2227.8316666666665,53,3421.66,162.0,0,5,0,0,1
2227.8316666666665,53,3421.66,165.0,0,5,0,0,1
6284.613333333334,14,1173.7,335.0,1,4,0,1,0
6284.613333333334,14,1173.7,339.0,1,4,0,1,0
6284.613333333334,16,1173.7,340.0,1,4,0,1,0
6284.613333333334,14,1173.7,341.0,1,4,0,1,0
6284.613333333334,15,1173.7,342.0,1,4,0,1,0
1423.168333333333,16,1693.95,94.0,0,4,0,0,1
1423.168333333333,17,1693.95,95.0,0,4,0,0,1
5800.276666666668,7,233.79,291.0,1,2,0,1,0
5800.276666666668,7,233.79,296.0,1,2,0,1,0
2623.703333333333,49,3470.08,17.0,1,6,0,0,1
2623.703333333333,45,3470.08,19.0,1,6,0,0,1
1740.539166666667,6,749.95,136.0,1,4,0,0,1
1740.539166666667,1,749.95,137.0,1,4,0,0,1
12432.61,13,949.38,367.0,2,3,1,1,0
12432.61,13,949.38,372.0,2,3,1,1,0
12432.61,16,949.38,374.0,2,3,1,1,0
4369.4825,30,3422.49,126.0,1,8,0,0,1
4369.4825,30,3422.49,127.0,1,8,0,0,1
1057.4358333333332,59,2797.17,170.0,1,9,0,0,1
1057.4358333333332,59,2797.17,171.0,0,9,0,0,1
1057.4358333333332,55,2797.17,172.0,0,9,0,0,1
1057.4358333333332,59,2797.17,173.0,0,9,0,0,1
7489.973333333332,2,680.77,252.0,2,2,1,1,0
7489.973333333332,2,680.77,254.0,2,2,1,1,0
7489.973333333332,2,680.77,255.0,2,2,1,0,0
6810.19,20,3053.16,6.0,1,9,0,0,1
6810.19,20,3053.16,9.0,1,9,0,0,1
8279.375,23,1079.73,380.0,1,2,0,0,0
8279.375,22,1079.73,383.0,1,2,0,1,0
8279.375,23,1079.73,385.0,2,2,0,0,0
4091.9175,27,2253.95,204.0,0,6,0,0,1
4091.9175,27,2253.95,205.0,0,6,0,0,1
4091.9175,27,2253.95,209.0,0,6,0,0,1
3224.935,57,3119.6,149.0,0,5,0,0,1
3224.935,54,3119.6,153.0,0,5,0,0,1
3224.935,57,3119.6,155.0,0,5,0,0,1
3224.935,57,3119.6,156.0,1,5,0,0,0
1012.48,62,4071.62,151.0,0,8,0,0,1
1023.2175884600924,62,4071.62,158.0,0,8,0,0,0
1654.615,8,2431.64,137.0,1,7,0,0,0
1654.615,5,2431.64,138.0,1,7,0,0,1
1654.615,5,2431.64,141.0,1,7,0,0,1
3132.524166666666,14,125.25,297.0,1,4,0,1,0
3132.524166666666,14,125.25,299.0,2,4,0,1,0
3132.524166666666,16,125.25,301.0,2,4,0,1,0
